Id,Formula,Name,Value,Units,Dimensionality,Type,Source,Status,Comment,Alert,Checks,Group
1,,p251,350,degrees,,Number,,,,,,
5,,p252,360.191971709704,degrees,,Number,,,,,,
9,,p107,350,degrees,,Number,,,,,,
13,,p108,370,degrees,,Number,,,,,,
17,,p283,360,degrees,,Number,,,,,,
21,,p21,350,degrees,,Number,,,,,,
25,,p26,350,degrees,,Number,,,,,,
29,,p27,370,degrees,,Number,,,,,,
33,,p292,350,degrees,,Number,,,,,,
37,,p241,370,degrees,,Number,,,,,,
44,,INP_ST_Shrd_NearNet,True,,,Boolean,,,,,,
45,,p143,350,degrees,,Number,,,,,,
49,,p144,370,degrees,,Number,,,,,,
53,,p39,370,degrees,,Number,,,,,,
57,,p147,350,degrees,,Number,,,,,,
61,,p148,370,degrees,,Number,,,,,,
68,,INP_FUDA,False,,,Boolean,,,,,,
69,,p151,350,degrees,,Number,,,,,,
73,,p48,370,degrees,,Number,,,,,,
77,,p50,350,degrees,,Number,,,,,,
81,,p55,370,degrees,,Number,,,,,,
85,,p59,350,degrees,,Number,,,,,,
89,,p60,370,degrees,,Number,,,,,,
93,,p63,350,degrees,,Number,,,,,,
101,,p68,350,degrees,,Number,,,,,,
105,,p69,370,degrees,,Number,,,,,,
109,,p280,315,degrees,,Number,,,,,,
113,,p73,350,degrees,,Number,,,,,,
117,,p74,370,degrees,,Number,,,,,,
121,,p47,350,degrees,,Number,,,,,,
125,,p51,370,degrees,,Number,,,,,,
129,,p22,370,degrees,,Number,,,,,,
133,,p83,350,degrees,,Number,,,,,,
137,,p84,370,degrees,,Number,,,,,,
141,,p196,350,degrees,,Number,,,,,,
145,,p197,370,degrees,,Number,,,,,,
149,,p199,370,degrees,,Number,,,,,,
153,,INP_Vane_Clock,0,degrees,,Number,,,,,,
157,,p96,350,degrees,,Number,,,,,,
161,,p38,350,degrees,,Number,,,,,,
165,,p269,358.903080892226,degrees,,Number,,,,,,
169,,p54,350,degrees,,Number,,,,,,
173,,p89,370,degrees,,Number,,,,,,
177,,p64,370,degrees,,Number,,,,,,
183,,INP_ROT,CCW,,,String,,,,,,
183,,BladeOrientation,CCW,,,String,,,,,,
189,,p198,350,degrees,,Number,,,,,,
193,,p254,360,degrees,,Number,,,,,,
